,Age,Job,Marital.Status,Education,Credit,Balance..euros.,Housing.Loan,Personal.Loan,Contact,Last.Contact.Day,Last.Contact.Month,Last.Contact.Duration,Campaign,Pdays,Previous,Poutcome,Subscription
303,57,retired,married,secondary,0,211,1,0,unknown,5,may,248,2,-1,0.0,unknown,0
304,36,services,single,secondary,0,62,1,0,unknown,5,may,215,2,-1,0.0,unknown,0
305,53,services,married,unknown,0,257,1,0,unknown,5,may,209,2,-1,0.0,unknown,0
306,50,technician,married,secondary,0,1234,1,0,unknown,5,may,205,2,-1,0.0,unknown,0
307,54,management,married,tertiary,0,313,1,0,unknown,5,may,83,2,-1,0.0,unknown,0
309,44,blue-collar,married,secondary,0,129,1,1,unknown,5,may,189,2,-1,0.0,unknown,0
312,54,technician,married,unknown,0,851,1,0,unknown,5,may,108,2,-1,0.0,unknown,0
313,55,services,divorced,primary,0,96,1,1,unknown,5,may,311,2,-1,0.0,unknown,0
314,37,services,divorced,secondary,0,398,1,1,unknown,5,may,214,2,-1,0.0,unknown,0
315,33,admin.,single,tertiary,0,193,0,0,unknown,5,may,132,2,-1,0.0,unknown,0
316,46,admin.,married,secondary,0,-358,1,0,unknown,5,may,358,2,-1,0.0,unknown,0
317,36,blue-collar,married,secondary,0,539,1,1,unknown,5,may,453,2,-1,0.0,unknown,0
321,51,blue-collar,married,secondary,0,0,1,0,unknown,5,may,173,2,-1,0.0,unknown,0
322,49,blue-collar,married,unknown,0,403,1,0,unknown,5,may,241,2,-1,0.0,unknown,0
323,48,management,married,secondary,0,161,1,0,unknown,5,may,224,3,-1,0.0,unknown,0
325,31,admin.,single,secondary,0,98,1,0,unknown,5,may,196,2,-1,0.0,unknown,0
326,55,management,single,tertiary,0,115,0,0,unknown,5,may,111,4,-1,0.0,unknown,0
328,47,technician,married,tertiary,0,831,1,0,unknown,5,may,316,3,-1,0.0,unknown,0
329,57,technician,married,unknown,0,206,1,0,unknown,5,may,216,3,-1,0.0,unknown,0
330,41,blue-collar,married,secondary,0,290,1,0,unknown,5,may,240,2,-1,0.0,unknown,0
331,48,blue-collar,married,secondary,0,1,0,0,unknown,5,may,669,3,-1,0.0,unknown,0
332,42,blue-collar,married,unknown,0,57,1,0,unknown,5,may,425,2,-1,0.0,unknown,0
334,58,management,single,tertiary,0,1387,1,0,unknown,5,may,174,5,-1,0.0,unknown,0
335,45,management,divorced,tertiary,0,24598,1,0,unknown,5,may,313,3,-1,0.0,unknown,0
338,53,technician,married,secondary,0,56,1,1,unknown,5,may,152,2,-1,0.0,unknown,0
341,41,blue-collar,single,secondary,0,842,1,0,unknown,5,may,144,3,-1,0.0,unknown,0
342,43,management,divorced,secondary,0,693,1,0,unknown,5,may,124,3,-1,0.0,unknown,0
344,50,blue-collar,married,primary,0,1533,1,0,unknown,5,may,325,2,-1,0.0,unknown,0
347,45,technician,married,secondary,0,44,1,0,unknown,5,may,95,4,-1,0.0,unknown,0
348,39,blue-collar,married,primary,0,-100,1,0,unknown,5,may,680,2,-1,0.0,unknown,0
349,44,services,married,tertiary,0,510,1,0,unknown,5,may,421,4,-1,0.0,unknown,0
350,55,management,married,tertiary,0,685,1,0,unknown,5,may,174,3,-1,0.0,unknown,0
353,34,admin.,married,secondary,0,560,1,0,unknown,5,may,198,3,-1,0.0,unknown,0
355,59,unknown,divorced,unknown,0,27,0,0,unknown,5,may,347,3,-1,0.0,unknown,0
359,40,blue-collar,married,secondary,0,211,1,0,unknown,5,may,216,4,-1,0.0,unknown,0
363,27,services,married,secondary,0,8,1,0,unknown,6,may,88,3,-1,0.0,unknown,0
365,59,admin.,married,secondary,0,230,1,0,unknown,6,may,190,3,-1,0.0,unknown,0
366,46,technician,married,tertiary,0,841,1,0,unknown,6,may,158,1,-1,0.0,unknown,0
368,43,management,divorced,tertiary,0,1,1,0,unknown,6,may,306,1,-1,0.0,unknown,0
369,38,admin.,divorced,tertiary,0,86,1,0,unknown,6,may,218,1,-1,0.0,unknown,0
371,34,services,married,secondary,0,22,1,0,unknown,6,may,344,1,-1,0.0,unknown,0
372,38,admin.,married,secondary,0,46,1,1,unknown,6,may,195,1,-1,0.0,unknown,0
373,37,blue-collar,married,secondary,0,1293,0,0,unknown,6,may,652,1,-1,0.0,unknown,0
374,25,admin.,single,secondary,0,122,1,0,unknown,6,may,286,1,-1,0.0,unknown,0
375,48,blue-collar,married,unknown,0,131,1,0,unknown,6,may,189,1,-1,0.0,unknown,0
376,49,blue-collar,single,secondary,0,143,1,0,unknown,6,may,83,1,-1,0.0,unknown,0
378,43,blue-collar,married,primary,0,98,1,0,unknown,6,may,235,1,-1,0.0,unknown,0
380,55,blue-collar,married,secondary,0,224,1,0,unknown,6,may,232,1,-1,0.0,unknown,0
381,38,blue-collar,married,secondary,0,757,1,0,unknown,6,may,133,1,-1,0.0,unknown,0
384,43,admin.,married,unknown,0,350,0,0,unknown,6,may,437,1,-1,0.0,unknown,0
387,57,technician,married,unknown,0,345,1,0,unknown,6,may,125,1,-1,0.0,unknown,0
389,56,management,married,tertiary,0,830,1,1,unknown,6,may,1201,1,-1,0.0,unknown,1
390,58,blue-collar,divorced,unknown,0,29,1,0,unknown,6,may,253,1,-1,0.0,unknown,0
391,60,retired,divorced,secondary,0,545,1,0,unknown,6,may,1030,1,-1,0.0,unknown,1
392,37,technician,married,tertiary,0,8730,1,0,unknown,6,may,149,1,-1,0.0,unknown,0
393,46,technician,divorced,tertiary,0,477,1,0,unknown,6,may,114,1,-1,0.0,unknown,0
394,27,admin.,married,secondary,0,4,1,0,unknown,6,may,243,1,-1,0.0,unknown,0
396,32,technician,single,secondary,0,0,1,1,unknown,6,may,135,3,-1,0.0,unknown,0
397,40,admin.,single,secondary,0,263,1,0,unknown,6,may,231,1,-1,0.0,unknown,0
398,38,admin.,married,secondary,0,1,0,0,unknown,6,may,76,1,-1,0.0,unknown,0
400,47,blue-collar,married,primary,0,206,1,0,unknown,6,may,152,1,-1,0.0,unknown,0
401,42,housemaid,married,primary,0,17,1,0,unknown,6,may,124,1,-1,0.0,unknown,0
402,48,technician,married,secondary,0,141,1,1,unknown,6,may,424,1,-1,0.0,unknown,0
403,29,self-employed,single,tertiary,0,16,1,0,unknown,6,may,43,1,-1,0.0,unknown,0
404,50,services,married,secondary,0,206,1,0,unknown,6,may,154,1,-1,0.0,unknown,0
405,52,technician,married,unknown,0,7,0,0,unknown,6,may,203,2,-1,0.0,unknown,0
406,50,management,married,tertiary,0,0,0,0,unknown,6,may,326,1,-1,0.0,unknown,0
407,58,retired,married,tertiary,0,0,0,0,unknown,6,may,393,1,-1,0.0,unknown,0
409,38,technician,married,secondary,0,284,1,0,unknown,6,may,483,1,-1,0.0,unknown,0
410,46,blue-collar,married,secondary,0,1660,1,0,unknown,6,may,259,1,-1,0.0,unknown,0
411,32,services,single,secondary,0,406,1,0,unknown,6,may,227,1,-1,0.0,unknown,0
